no,location,lat,lng,type,districtL,districtS,address,provider,parkingNo,img,stationList_Id
"176","Convention Plaza (Harbour Road) Carpark","22.2806835174561","114.17529296875","Standard","Hong Kong Island","Wan Chai","25 Harbour Road, Wan Chai","Others","","",0
"177","Telford Plaza Phase 1","22.3221912384033","114.213203430176","Standard","Kowloon","Kwun Tong","\nTelford Plaza Phase 1D, 33 Wai Yip Street, Kowloon Bay\n","Others","","",0
"178","Sheung Tak Plaza","22.3104114532471","114.258033752441","Quick","New Territories","Sai Kung","\nCarpark B, Sheung Tak Plaza 2 Tong Ming Street, Tseung Kwan O, New Territories\n","CLP","B010 & B011","/EV/PublishingImages/sheung%20tak.JPG",0
"179","Nina Tower","22.3688278198242","114.113906860352","Quick","New Territories","Tsuen Wan","\nNina Tower Carpark, UB/F, 8 Yueng Uk Road, Tsuen Wan\n","CLP","05-06","\n/EV/PublishingImages/common/map/Entrance_Nina%20Tower.jpg\n",0
"180","Tuen Mun Town Plaza I","22.3935165405273","113.976783752441","Quick","New Territories","Tuen Mun","\nTuen Mun Town Plaza Carpark, 4/F Tuen Mun Town Plaza Ph1, 1 Tuen Shun St, Tuen Mun, NT\n","CLP","4153-4154","/EV/PublishingImages/EVQC%20-%20Tuen%20Mun.JPG",0
"181","Uptown Plaza","22.4442234039307","114.168502807617","Quick","New Territories","Tai Po","Uptown Plaza Carpark, 2/F, Uptown Plaza, Tai Po","CLP","R101","/EV/PublishingImages/EVQC%20-%20Uptown%20Plaza.JPG",0
"182","Tin Shing Court","22.44948387146","114.001953125","SemiQuick","New Territories","Yuen Long","\nTin Shing Court Carpark, 3/F, 3 Tin Ching Street, Tin Shui Wai,Yuen Long, N.T.\n","CLP","3183-3186","\n/EV/PublishingImages/common/map/map_thumb/Tin%20Shing%20Court.jpg\n",0
"183","Pioneer Centre","22.3226432800293","114.169326782227","SemiQuick","Kowloon","Yau Tsim Mong","\nPioneer Centre Car Park, 750 Nathan Road, Mong Kok, Kowloon\n","Others","","\n/EV/PublishingImages/Station%20Photos/Pioneer%20Centre.PNG\n",0
"184","Asia Orient Tower","22.2787990570068","114.169677734375","SemiQuick","Hong Kong Island","Wan Chai","52 Jaffe Rd, Wan Chai","Others","Tesla only","",0
"185","Cathay Pacific City","22.298282623291","113.933906555176","SemiQuick","Outlying Islands","Outlying Islands","8 Scenic Rd, Chek Lap Kok","Others","","",0
"186","Choi Hung Park-and-Ride Public Car Park","22.3342418670654","114.210273742676","SemiQuick","Kowloon","Wong Tai Sin","2/F-8/F, No.8 Clear Water Bay Road","Others","","",0
"187","Chung On Shopping Centre","22.4220676422119","114.227081298828","Quick","New Territories","Shatin","Sai Sha Rd, Ma On Shan","Others","BYD only","",0
"188","Coronation Circle","22.3095855712891","114.16633605957","Standard","Kowloon","Yau Tsim Mong","1 Yau Cheung Rd, Yau Ma Tei","Others","","",0
"189","\nElectrical and Mechanical Services Department Headquarters\n","22.3258056640625","114.204681396484","SemiQuick","Kowloon","Kwun Tong","3 Kai Shing Street, Kowloon Bay","Others","For permitted visitor only.","",0
"190","Fu Shin Shopping Centre","22.4543685913086","114.174835205078","Quick","New Territories","Tai Po","12 On Po Rd, Tai Po","Others","BYD only","",0
"191","Fu Tai Shopping Centre","22.4127731323242","113.983123779297","Quick","New Territories","Tuen Mun","9 Tuen Kwai Rd, Fu Tei, Tuen Mun","Others","BYD only","",0
"192","Grand Central Plaza","22.3859786987305","114.187423706055","Standard","New Territories","Shatin","\n138 Shatin Rural Committee Road & Pai Tau St, Sha Tin\n","Others","","",0
"193","Hing Wah Plaza","22.2628288269043","114.236206054688","Quick","Hong Kong Island","Eastern","11 Wan Tsui Rd, Chai Wan","Others","BYD only","",0
"194","Hong Kong SkyCity Marriott Hotel","22.3192901611328","113.943565368652","SemiQuick","Outlying Islands","Outlying Islands","1 Sky City Rd E, Chek Lap Kok","Others","Tesla only","",0
"195","Hong Kong Wetland Park","22.4681568145752","114.003433227539","SemiQuick","New Territories","Yuen Long","Wetland Park Rd, Tin Shui Wai","Others","","",0
"196","Hotel Icon","22.3008308410645","114.178642272949","SemiQuick","Kowloon","Yau Tsim Mong","17 Science Museum Road, Tsim Sha Tsui","Others","Tesla only","",0
"197","Hotel Panorama by Rhombus","22.2976894378662","114.174591064453","SemiQuick","Kowloon","Yau Tsim Mong","8A Hart Ave, Tsim Sha Tsui","Others","Tesla only","",0
"198","InterContinental Grand Stanford Hong Kong","22.2990283966064","114.178215026855","SemiQuick","Kowloon","Yau Tsim Mong","70 Mody Rd, Tsim Sha Tsui","Others","Tesla only","",0
"199","International Commerce Centre","22.3038120269775","114.160415649414","SemiQuick","Kowloon","Yau Tsim Mong","1 Austin Rd W, West Kowloon","Others","","",0
"200","Le Meridien Cyberport","22.2617301940918","114.129173278809","SemiQuick","Hong Kong Island","Southern","100 Cyberport Rd, Hong Kong","Others","Tesla only","",0
"201","Lee Garden 1","22.2782039642334","114.184913635254","SemiQuick","Hong Kong Island","Wan Chai","33 Hysan Ave, Causeway Bay","Others","","",0
"202","Lee Garden 2","22.2782363891602","114.186065673828","SemiQuick","Hong Kong Island","Wan Chai","2-38 Yun Ping Rd, Causeway Bay","Others","","",0
"203","Lee Garden 2","22.2782363891602","114.186065673828","Quick","Hong Kong Island","Wan Chai","2-38 Yun Ping Rd, Causeway Bay","Others","Tesla only","",0
"204","Leighton Centre","22.2780246734619","114.183151245117","SemiQuick","Hong Kong Island","Wan Chai","77 Leighton Rd, Causeway Bay","Others","","",0
"205","L'hotel elan","22.3140125274658","114.219230651855","SemiQuick","Kowloon","Kwun Tong","38 Chong Yip Street, Ngau Tau Kok","Others","Tesla only","",0
"206","L'hotel Island South","22.2500247955322","114.168029785156","SemiQuick","Hong Kong Island","Southern","55 Wong Chuk Hang Rd, Aberdeen","Others","Tesla only","",0
"207","Lions Rise","22.3398857116699","114.196968078613","SemiQuick","Kowloon","Wong Tai Sin","8 Muk Lun Street, Wong Tai Sin","Others","","",0
"208","Lodgewood","22.3212547302246","114.164367675781","SemiQuick","Kowloon","Yau Tsim Mong","1131 Canton Rd, Mong Kok","Others","Tesla only","",0
"209","Mira Moon Hotel","22.2797737121582","114.17894744873","SemiQuick","Hong Kong Island","Wan Chai","388 Jaffe Road, Causeway Bay","Others","Tesla only","",0
"210","Ocean Park Hong Kong","22.2483463287354","114.174369812012","SemiQuick","Hong Kong Island","Southern","Ocean Park Road, Wong Chuk Hang","Others","","",0
"211","Oi Man Plaza","22.3136730194092","114.177825927734","Quick","Kowloon","Kowloon City","60 Chung Hau Street, Ho Man Tin","Others","BYD only","",0
"212","Olympian City 3","22.3170890808105","114.165306091309","Standard","Kowloon","Yau Tsim Mong","1 Hoi Wang Rd, Tai Kok Tsui","Others","","",0
"213","One Island South","22.2487468719482","114.166770935059","Standard","Hong Kong Island","Southern","2 Heung Yip Rd, Wong Chuk Hang","Others","","",0
"214","One Midtown","22.3725452423096","114.105422973633","Standard","New Territories","Tsuen Wan","11 Hoi Shing Rd, Tsuen Wan","Others","","",0
"215","One Pacific Place","22.2778816223145","114.166595458984","Quick","Hong Kong Island","Central and Western","88 Queensway, Admiralty","Others","","",0
"216","One Peking","22.2958583831787","114.169311523438","SemiQuick","Kowloon","Yau Tsim Mong","1 Peking Rd, Tsim Sha Tsui","Others","","",0
"217","Regal Airport Hotel","22.3194007873535","113.934501647949","SemiQuick","Outlying Islands","Outlying Islands","9 Cheong Tat Rd, Chek Lap Kok","Others","Tesla only","",0
"218","Regal Hong Kong Hotel","22.2789096832275","114.186737060547","SemiQuick","Hong Kong Island","Wan Chai","88 Yee Wo Street, Causeway Bay","Others","Tesla only","",0
"219","Regal Kowloon Hotel","22.2989234924316","114.177551269531","SemiQuick","Kowloon","Yau Tsim Mong","71 Mody Rd, Tsim Sha Tsui","Others","Tesla only","",0
"220","Regal Oriental Hotel","22.3301620483398","114.192749023438","SemiQuick","Kowloon","Kowloon City","30 Sa Po Road, Kowloon City","Others","Tesla only","",0
"221","Regal Riverside Hotel","22.3822288513184","114.196907043457","SemiQuick","New Territories","Shatin","34-36 Tai Chung Kiu Road, Shatin","Others","Tesla only","",0
"222","Royal Garden Hotel","22.298656463623","114.177337646484","SemiQuick","Kowloon","Yau Tsim Mong","69 Mody Rd, Tsim Sha Tsui","Others","Tesla only","",0
"223","Royal Park Hotel","22.3795566558838","114.188835144043","SemiQuick","New Territories","Shatin","8 Pak Hok Ting Street, Shatin","Others","Tesla only","",0
"224","Royal Plaza Hotel","22.3247966766357","114.173179626465","SemiQuick","Kowloon","Yau Tsim Mong","193 Prince Edward Road West, Kowloon","Others","Tesla only","",0
"225","Royal View Hotel","22.3691787719727","114.078132629395","SemiQuick","New Territories","Tsuen Wan","353 Castle Peak Road, Ting Kau, Tsuen Wan","Others","Tesla only","",0
"226","Sun Hung Kai Centre","22.2801170349121","114.176582336426","SemiQuick","Hong Kong Island","Wan Chai","Harbour Rd, Wan Chai","Others","Tesla only","",0
"227","Tai Tong Lychee Garden","22.4135494232178","114.025596618652","Quick","New Territories","Yuen Long","Tai Tong Shan Rd, Yuen Long","Others","","",0
"228","The Pulse","22.2359619140625","114.197891235352","SemiQuick;Quick","Hong Kong Island","Southern","28 Beach Rd, Repulse Bay","Others","","",0
